set,id,gz,type,pillars,elements,distance,involvesMonth,involvesDay,source,target,evidence
合成观察,SY1,壬子 壬子 戊午 戊午,天干克,year+hour,土克水,3,0,0,时柱戊,年柱壬,经典十对（同性相克力重）
合成观察,SY1,壬子 壬子 戊午 戊午,六冲,year+hour,水、火,3,0,0,年柱子,时柱午,js/bazi.js:2406 CHONG
合成观察,SY1,壬子 壬子 戊午 戊午,天干克,month+day,土克水,1,1,1,日柱戊,月柱壬,经典十对（同性相克力重）
合成观察,SY1,壬子 壬子 戊午 戊午,六冲,month+day,水、火,1,1,1,月柱子,日柱午,js/bazi.js:2406 CHONG
合成观察,SY1,壬子 壬子 戊午 戊午,天干克,month+hour,土克水,2,1,0,时柱戊,月柱壬,经典十对（同性相克力重）
合成观察,SY1,壬子 壬子 戊午 戊午,六冲,month+hour,水、火,2,1,0,月柱子,时柱午,js/bazi.js:2406 CHONG
合成观察,SY2,壬子 壬子 戊戌 丁巳,天干克,year+day,土克水,2,0,1,日柱戊,年柱壬,经典十对（同性相克力重）
合成观察,SY2,壬子 壬子 戊戌 丁巳,天干五合,year+hour,水、火|化木,3,0,0,年柱壬,时柱丁,js/bazi.js:2382 GAN_HE
合成观察,SY2,壬子 壬子 戊戌 丁巳,天干克,month+day,土克水,1,1,1,日柱戊,月柱壬,经典十对（同性相克力重）
合成观察,SY2,壬子 壬子 戊戌 丁巳,天干五合,month+hour,水、火|化木,2,1,0,月柱壬,时柱丁,js/bazi.js:2382 GAN_HE
合成观察,SY3,甲子 壬申 乙卯 丁亥,刑,year+day,水、木,2,0,1,年柱子,日柱卯,js/bazi.js:2412 XING
合成观察,SY3,甲子 壬申 乙卯 丁亥,天干五合,month+hour,水、火|化木,2,1,0,月柱壬,时柱丁,js/bazi.js:2382 GAN_HE
合成观察,SY3,甲子 壬申 乙卯 丁亥,六害,month+hour,金、水,2,1,0,月柱申,时柱亥,js/bazi.js:2409 HAI
合成观察,SY3,甲子 壬申 乙卯 丁亥,半合,day+hour,卯亥|合木,1,0,1,日柱卯,时柱亥,js/bazi.js:2472 半合须含中神卯；生墓两支只称拱局不记
合成观察,SY3,甲子 壬申 乙卯 丁亥,半合,year+month,子申|合水,1,1,0,年柱子,月柱申,js/bazi.js:2472 半合须含中神子；生墓两支只称拱局不记
合成观察,SY3,甲子 壬申 乙卯 丁亥,半会,hour+year,亥子|会水,3,0,0,时柱亥,年柱子,js/bazi.js:2536 半会=方局相邻两字
合成观察,SY4,壬寅 戊申 乙卯 壬午,天干克,year+month,土克水,1,1,0,月柱戊,年柱壬,经典十对（同性相克力重）
合成观察,SY4,壬寅 戊申 乙卯 壬午,六冲,year+month,木、金,1,1,0,年柱寅,月柱申,js/bazi.js:2406 CHONG
合成观察,SY4,壬寅 戊申 乙卯 壬午,刑,year+month,木、金,1,1,0,年柱寅,月柱申,js/bazi.js:2412 XING
合成观察,SY4,壬寅 戊申 乙卯 壬午,天干克,month+hour,土克水,2,1,0,月柱戊,时柱壬,经典十对（同性相克力重）
合成观察,SY4,壬寅 戊申 乙卯 壬午,半合,hour+year,午寅|合火,3,0,0,时柱午,年柱寅,js/bazi.js:2472 半合须含中神午；生墓两支只称拱局不记
合成观察,SY4,壬寅 戊申 乙卯 壬午,半会,year+day,寅卯|会木,2,0,1,年柱寅,日柱卯,js/bazi.js:2536 半会=方局相邻两字
测试盘,wetearth,庚申 己丑 癸卯 丁巳,刑,year+hour,金、火,3,0,0,年柱申,时柱巳,js/bazi.js:2412 XING
测试盘,wetearth,庚申 己丑 癸卯 丁巳,六合,year+hour,金、火|化水,3,0,0,年柱申,时柱巳,js/bazi.js:2416 ZHI_HE（午未合土）
测试盘,wetearth,庚申 己丑 癸卯 丁巳,天干克,month+day,土克水,1,1,1,月柱己,日柱癸,经典十对（同性相克力重）
测试盘,wetearth,庚申 己丑 癸卯 丁巳,天干克,day+hour,水克火,1,0,1,日柱癸,时柱丁,经典十对（同性相克力重）
